Address_x,Eircode,Airport_distance_km,Airport_duration_min,Airport_distance_m,Airport_duration_s,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price,Short Address,Date of Sale (dd/mm/yyyy),Address_y,County,Price (ï¿½),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"310 Kildare Rd, Crumlin, Dublin 12, Dublin 12, Dublin",D12X9F8,24.421,26.766666666666666,24421,1606,End of Terrace,3,2,93.0 m²,C2,—,08/04/2025,"€450,000","€515,000","310 KILDARE RD, CRUMLIN, DUBLIN 12",08/04/2025,"310 KILDARE RD, CRUMLIN, DUBLIN 12",Dublin,"ï¿½515,000.00",No,No,Second-Hand Dwelling house /Apartment,
"116 Lioscian, Swords, Dublin, Dublin",K67XH10,11.715,16.866666666666667,11715,1012,Terrace,3,2,81.0 m²,C1,—,08/04/2025,"€365,000","€370,000","116 LIOSCIAN, SWORDS, DUBLIN",08/04/2025,"116 LIOSCIAN, SWORDS, DUBLIN",Dublin,"ï¿½370,000.00",No,No,Second-Hand Dwelling house /Apartment,
"69 Olcovar, Shankill, Dublin 18, Dublin 18, Dublin",D18TD45,44.815,35.28333333333333,44815,2117,Duplex,3,3,103.0 m²,B2,—,08/04/2025,"€475,000","€510,000","69 OLCOVAR, SHANKILL, DUBLIN 18",08/04/2025,"69 OLCOVAR, SHANKILL, DUBLIN 18",Dublin,"ï¿½510,000.00",No,No,Second-Hand Dwelling house /Apartment,
"40 Chapel Ave, Balbriggan, Dublin, Dublin",K32XY61,26.846,23.733333333333334,26846,1424,Semi-D,3,2,111.0 m²,—,—,08/04/2025,"€372,500","€410,000","40 CHAPEL AVE, BALBRIGGAN, DUBLIN",08/04/2025,"40 CHAPEL AVE, BALBRIGGAN, DUBLIN",Dublin,"ï¿½410,000.00",No,No,Second-Hand Dwelling house /Apartment,
"55 Foxfield Rd, Raheny, Dublin 5, Dublin 5, Dublin",D05K7Y2,11.422,24.366666666666667,11422,1462,Semi-D,3,2,117.0 m²,D1,—,08/04/2025,"€665,000","€785,000","55 FOXFIELD RD, RAHENY, DUBLIN 5",08/04/2025,"55 FOXFIELD RD, RAHENY, DUBLIN 5",Dublin,"ï¿½785,000.00",No,No,Second-Hand Dwelling house /Apartment,
"16 The Tramyard, Spa Rd, Inchicore Dublin 8, Dublin 8, Dublin",D08HC04,21.471,23.15,21471,1389,Apartment,2,1,61.0 m²,D2,—,08/04/2025,"€275,000","€295,000","16 THE TRAMYARD, SPA RD, INCHICORE DUBLIN 8",08/04/2025,"16 THE TRAMYARD, SPA RD, INCHICORE DUBLIN 8",Dublin,"ï¿½295,000.00",No,No,Second-Hand Dwelling house /Apartment,
"8 Aldborough Court, Lambs Junction, North Strand Rd Dublin 1, Dublin",D01E840,15.353,20.216666666666665,15353,1213,Apartment,2,2,72.0 m²,A1,—,08/04/2025,"€350,000","€440,000","8 ALDBOROUGH COURT, LAMBS JUNCTION, NORTH STRAND RD DUBLIN 1",08/04/2025,"8 ALDBOROUGH COURT, LAMBS JUNCTION, NORTH STRAND RD DUBLIN 1",Dublin,"ï¿½440,000.00",No,No,Second-Hand Dwelling house /Apartment,
"22 Shrewsbury Sq, Sandymount Ave, Ballsbridge, Dublin 4, Dublin",D04NX81,17.793,25.483333333333334,17793,1529,Apartment,2,2,79.0 m²,—,—,08/04/2025,"€775,000","€810,000","22 SHREWSBURY SQ, SANDYMOUNT AVE, BALLSBRIDGE",08/04/2025,"22 SHREWSBURY SQ, SANDYMOUNT AVE, BALLSBRIDGE",Dublin,"ï¿½810,000.00",No,No,Second-Hand Dwelling house /Apartment,
"17 Kilmore Close, Artane, Dublin, Dublin 5, Dublin",D05TF70,7.296,15.05,7296,903,Semi-D,3,2,117.0 m²,F,—,08/04/2025,"€450,000","€516,000","17 KILMORE CLOSE, ARTANE, DUBLIN",08/04/2025,"17 KILMORE CLOSE, ARTANE, DUBLIN",Dublin,"ï¿½516,000.00",No,No,Second-Hand Dwelling house /Apartment,
"19 Vale View Lawn, The Park, Cabinteely Dublin 18, Dublin 18, Dublin",D18T8Y0,39.096,33.71666666666667,39096,2023,Semi-D,3,2,113.0 m²,C2,—,08/04/2025,"€645,000","€655,000","19 VALE VIEW LAWN, THE PARK, CABINTEELY DUBLIN 18",08/04/2025,"19 VALE VIEW LAWN, THE PARK, CABINTEELY DUBLIN 18",Dublin,"ï¿½655,000.00",No,No,Second-Hand Dwelling house /Apartment,
"5 Mckelvey Ave, Finglas East, Dublin 11, Dublin 11, Dublin",D11XVC0,5.794,9.7,5794,582,Terrace,3,1,71.0 m²,—,—,08/04/2025,"€285,000","€325,000","5 MCKELVEY AVE, FINGLAS EAST, DUBLIN 11",08/04/2025,"5 MCKELVEY AVE, FINGLAS EAST, DUBLIN 11",Dublin,"ï¿½325,000.00",No,No,Second-Hand Dwelling house /Apartment,
"5 The Cloisters, Mount Tallant Ave, Terenure, Dublin",D6WEA40,29.335,32.1,29335,1926,End of Terrace,3,1,101.0 m²,—,—,08/04/2025,"€595,000","€680,000","5 THE CLOISTERS, MOUNT TALLANT AVE, TERENURE",08/04/2025,"5 THE CLOISTERS, MOUNT TALLANT AVE, TERENURE",Dublin,"ï¿½680,000.00",No,No,Second-Hand Dwelling house /Apartment,
"39 Slievemore Rd, Dublin 12, Dublin, Dublin 12, Dublin",D12F782,24.172,26.666666666666668,24172,1600,Terrace,2,1,71.0 m²,—,—,08/04/2025,"€349,950","€380,000","39 SLIEVEMORE RD, DUBLIN 12, DUBLIN",08/04/2025,"39 SLIEVEMORE RD, DUBLIN 12, DUBLIN",Dublin,"ï¿½380,000.00",No,No,Second-Hand Dwelling house /Apartment,
"58 Tenterfields, South Brown Rd, Dublin 8, Dublin 8, Dublin",D08F903,24.154,31.016666666666666,24154,1861,Apartment,2,1,50.0 m²,D2,—,08/04/2025,"€315,000","€375,000","58 TENTERFIELDS, SOUTH BROWN RD, DUBLIN 8",08/04/2025,"58 TENTERFIELDS, SOUTH BROWN RD, DUBLIN 8",Dublin,"ï¿½375,000.00",No,No,Second-Hand Dwelling house /Apartment,
"64 Rialto Court, South Circular Rd, Dublin 8, Dublin 8, Dublin",D08R6X2,22.977,27.433333333333334,22977,1646,Apartment,1,1,35.0 m²,D1,—,08/04/2025,"€225,000","€266,000","64 RIALTO COURT, SOUTH CIRCULAR RD, DUBLIN 8",08/04/2025,"64 RIALTO COURT, SOUTH CIRCULAR RD, DUBLIN 8",Dublin,"ï¿½266,000.00",No,No,Second-Hand Dwelling house /Apartment,
"10 Grangemore Crescent, Donaghmede, Dublin 13, Dublin 13, Dublin",D13X7K7,11.661,18.016666666666666,11661,1081,Semi-D,3,2,112.0 m²,D1,—,08/04/2025,"€475,000","€510,000","10 GRANGEMORE CRESCENT, DONAGHMEDE, DUBLIN 13",08/04/2025,"10 GRANGEMORE CRESCENT, DONAGHMEDE, DUBLIN 13",Dublin,"ï¿½510,000.00",No,No,Second-Hand Dwelling house /Apartment,
"11 Hillcrest Grove, Lucan, Dublin, Dublin",K78D2T3,20.392,19.683333333333334,20392,1181,Semi-D,3,1,94.0 m²,E1,—,08/04/2025,"€365,000","€441,000","11 HILLCREST GROVE, LUCAN, DUBLIN",08/04/2025,"11 HILLCREST GROVE, LUCAN, DUBLIN",Dublin,"ï¿½441,000.00",No,No,Second-Hand Dwelling house /Apartment,
"81 Seaview Ave, East Wall, Dublin 3, Dublin 3, Dublin",D03VN52,14.456,18.183333333333334,14456,1091,Terrace,2,1,68.0 m²,D1,—,08/04/2025,"€365,000","€408,000","81 SEAVIEW AVE, EAST WALL, DUBLIN 3",08/04/2025,"81 SEAVIEW AVE, EAST WALL, DUBLIN 3",Dublin,"ï¿½408,000.00",No,No,Second-Hand Dwelling house /Apartment,
"24 Nephin Rd, Navan Rd, Dublin 7, Dublin 7, Dublin",D07X3H7,11.673,21.4,11673,1284,Semi-D,4,1,135.0 m²,E1,—,08/04/2025,"€650,000","€650,000","24 NEPHIN RD, NAVAN RD, DUBLIN 7",08/04/2025,"24 NEPHIN RD, NAVAN RD, DUBLIN 7",Dublin,"ï¿½650,000.00",No,No,Second-Hand Dwelling house /Apartment,
"55 25 Wolfe Tone St, Dublin 1, Dublin, Dublin 1, Dublin",D01A897,10.651,25.016666666666666,10651,1501,Apartment,1,1,48.0 m²,C2,—,09/04/2025,"€285,000","€320,000","55 25 WOLFE TONE ST, DUBLIN 1, DUBLIN",09/04/2025,"55 25 WOLFE TONE ST, DUBLIN 1, DUBLIN",Dublin,"ï¿½320,000.00",No,No,Second-Hand Dwelling house /Apartment,
"120 Mangerton Rd, Drimnagh, Dublin, Dublin 12, Dublin",D12HX60,23.612,24.933333333333334,23612,1496,Terrace,4,2,96.0 m²,D2,—,09/04/2025,"€380,000","€380,000","120 MANGERTON RD, DRIMNAGH, DUBLIN",09/04/2025,"120 MANGERTON RD, DRIMNAGH, DUBLIN",Dublin,"ï¿½380,000.00",No,No,Second-Hand Dwelling house /Apartment,
"5 Hamlet Lane House, Balbriggan, Co Dublin, Dublin",K32XK06,26.671,22.8,26671,1368,Apartment,2,1,60.0 m²,C1,—,09/04/2025,"€230,000","€251,500","5 HAMLET LANE HOUSE, BALBRIGGAN, CO DUBLIN",09/04/2025,"5 HAMLET LANE HOUSE, BALBRIGGAN, CO DUBLIN",Dublin,"ï¿½251,500.00",No,No,Second-Hand Dwelling house /Apartment,
"104 Hook Head, Custom House Harbour, Ifsc Dublin 1, Dublin 1, Dublin",D01E651,16.149,25.516666666666666,16149,1531,Apartment,2,1,56.0 m²,C1,—,09/04/2025,"€385,000","€390,000","104 HOOK HEAD, CUSTOM HOUSE HARBOUR, IFSC DUBLIN 1",09/04/2025,"104 HOOK HEAD, CUSTOM HOUSE HARBOUR, IFSC DUBLIN 1",Dublin,"ï¿½390,000.00",No,No,Second-Hand Dwelling house /Apartment,
"36 Turnstone, Thorn Wood, Booterstown Ave, Dublin",A94KT93,21.196,33.016666666666666,21196,1981,Apartment,2,2,83.0 m²,B2,—,09/04/2025,"€595,000","€650,000","36 TURNSTONE, THORN WOOD, BOOTERSTOWN AVE",09/04/2025,"36 TURNSTONE, THORN WOOD, BOOTERSTOWN AVE",Dublin,"ï¿½650,000.00",No,No,Second-Hand Dwelling house /Apartment,
"74 Rockford Park, Blackrock, Dublin, Dublin",A94X5Y2,23.566,38.43333333333333,23566,2306,End of Terrace,3,1,115.0 m²,B3,—,09/04/2025,"€675,000","€705,000","74 ROCKFORD PARK, BLACKROCK, DUBLIN",09/04/2025,"74 ROCKFORD PARK, BLACKROCK, DUBLIN",Dublin,"ï¿½705,000.00",No,No,Second-Hand Dwelling house /Apartment,
"27 The Grove, Pheasant Run, Clonee Dublin 15, Dublin 15, Dublin",D15YF97,18.757,20.1,18757,1206,Semi-D,4,2,125.0 m²,—,—,09/04/2025,"€475,000","€505,000","27 THE GROVE, PHEASANT RUN, CLONEE DUBLIN 15",09/04/2025,"27 THE GROVE, PHEASANT RUN, CLONEE DUBLIN 15",Dublin,"ï¿½505,000.00",No,No,Second-Hand Dwelling house /Apartment,
"93 St Columbas Rise, Swords, Dublin, Dublin",K67K5P6,7.339,13.5,7339,810,Semi-D,4,2,143.0 m²,D2,—,09/04/2025,"€580,000","€615,000","93 ST COLUMBAS RISE, SWORDS, DUBLIN",09/04/2025,"93 ST COLUMBAS RISE, SWORDS, DUBLIN",Dublin,"ï¿½615,000.00",No,No,Second-Hand Dwelling house /Apartment,
"21 Avondale Park, Raheny, Dublin 5, Dublin 5, Dublin",D05A298,10.772,23.616666666666667,10772,1417,House,3,1,130.0 m²,E2,—,09/04/2025,"€550,000","€600,000","21 AVONDALE PARK, RAHENY, DUBLIN 5",09/04/2025,"21 AVONDALE PARK, RAHENY, DUBLIN 5",Dublin,"ï¿½600,000.00",No,No,Second-Hand Dwelling house /Apartment,
"2 Loreto Rd, Maryland, Dublin 8, Dublin 8, Dublin",D08R7Y2,23.614,28.35,23614,1701,Semi-D,3,3,139.0 m²,E1,—,09/04/2025,"€560,000","€575,000","2 LORETO RD, MARYLAND, DUBLIN 8",09/04/2025,"2 LORETO RD, MARYLAND, DUBLIN 8",Dublin,"ï¿½575,000.00",No,No,Second-Hand Dwelling house /Apartment,
"26 Derry Rd, Crumlin, Dublin 12, Dublin 12, Dublin",D12C8W9,24.656,27.566666666666666,24656,1654,End of Terrace,2,1,77.0 m²,E1,—,09/04/2025,"€425,000","€485,000","26 DERRY RD, CRUMLIN, DUBLIN 12",09/04/2025,"26 DERRY RD, CRUMLIN, DUBLIN 12",Dublin,"ï¿½485,000.00",No,No,Second-Hand Dwelling house /Apartment,
"17 Churchwell Sq, Belmayne, Malahide Rd, Dublin 13, Dublin",D13HN32,10.651,15.75,10651,945,Duplex,4,2,188.0 m²,B2,—,09/04/2025,"€460,000","€485,000","17 CHURCHWELL SQ, BELMAYNE, MALAHIDE RD",09/04/2025,"17 CHURCHWELL SQ, BELMAYNE, MALAHIDE RD",Dublin,"ï¿½485,000.00",No,No,Second-Hand Dwelling house /Apartment,
"250 Captain's Road, Crumlin, Dublin 12, Dublin 12, Dublin",D12E9X4,25.252,28.033333333333335,25252,1682,End of Terrace,3,1,85.0 m²,G,—,09/04/2025,"€390,000","€440,355","250 CAPTAIN'S ROAD, CRUMLIN, DUBLIN 12",09/04/2025,"250 CAPTAIN'S ROAD, CRUMLIN, DUBLIN 12",Dublin,"ï¿½440,355.00",No,No,Second-Hand Dwelling house /Apartment,
"57 Merrion Park, Blackrock, Dublin, Dublin",A94TX88,21.127,32.6,21127,1956,Terrace,3,2,90.0 m²,C2,—,09/04/2025,"€720,000","€760,000","57 MERRION PARK, BLACKROCK, DUBLIN",09/04/2025,"57 MERRION PARK, BLACKROCK, DUBLIN",Dublin,"ï¿½760,000.00",No,No,Second-Hand Dwelling house /Apartment,
"11 The Orchard, Grove House, Miltown Road, Dublin 6, Dublin",D06X896,19.79,33.13333333333333,19790,1988,Apartment,2,2,70.0 m²,D1,—,09/04/2025,"€525,000","€505,000","11 THE ORCHARD, GROVE HOUSE, MILTOWN ROAD",09/04/2025,"11 THE ORCHARD, GROVE HOUSE, MILTOWN ROAD",Dublin,"ï¿½505,000.00",No,No,Second-Hand Dwelling house /Apartment,
"14 Castle Rosse Crescent, Baldoyle, Dublin 13, Dublin 13, Dublin",D13E793,12.845,20.5,12845,1230,Semi-D,4,3,10.0 m²,—,—,09/04/2025,"€550,000","€680,000","14 CASTLE ROSSE CRESCENT, BALDOYLE, DUBLIN 13",09/04/2025,"14 CASTLE ROSSE CRESCENT, BALDOYLE, DUBLIN 13",Dublin,"ï¿½680,000.00",No,No,Second-Hand Dwelling house /Apartment,
"4 Fernleigh Green, Castleknock, Dublin 15, Dublin 15, Dublin",D15X6E5,18.023,22.2,18023,1332,Terrace,2,3,70.0 m²,C1,—,09/04/2025,"€375,000","€411,000","4 FERNLEIGH GREEN, CASTLEKNOCK, DUBLIN 15",09/04/2025,"4 FERNLEIGH GREEN, CASTLEKNOCK, DUBLIN 15",Dublin,"ï¿½411,000.00",No,No,Second-Hand Dwelling house /Apartment,
"45 Whitehall Sq, Whitehall Rd West, Perrystown Dublin 12, Dublin 12, Dublin",D12YW99,24.938,27.816666666666666,24938,1669,Apartment,2,1,59.0 m²,B3,—,09/04/2025,"€295,000","€350,000","45 WHITEHALL SQ, WHITEHALL RD WEST, PERRYSTOWN DUBLIN 12",09/04/2025,"45 WHITEHALL SQ, WHITEHALL RD WEST, PERRYSTOWN DUBLIN 12",Dublin,"ï¿½350,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apartment 49, Crofton Hall, Diswellstown, Dublin 15, Dublin",D15H2HK,16.138,21.566666666666666,16138,1294,Apartment,2,2,90.5 m²,A3,—,09/04/2025,"€435,000","€455,000","APARTMENT 49, CROFTON HALL, DISWELLSTOWN",09/04/2025,"APARTMENT 49, CROFTON HALL, DISWELLSTOWN",Dublin,"ï¿½455,000.00",No,No,Second-Hand Dwelling house /Apartment,
"89 Limekiln Rd, Limekiln, Greenhills Dublin 12, Dublin 12, Dublin",D12KX50,24.421,24.733333333333334,24421,1484,Semi-D,4,3,190.0 m²,C3,—,09/04/2025,"€675,000","€685,000","89 LIMEKILN RD, LIMEKILN, GREENHILLS DUBLIN 12",09/04/2025,"89 LIMEKILN RD, LIMEKILN, GREENHILLS DUBLIN 12",Dublin,"ï¿½685,000.00",No,No,Second-Hand Dwelling house /Apartment,
"55 Terenure Rd East, Rathgar, Dublin 6, Dublin 6, Dublin",D06FD43,28.531,30.166666666666668,28531,1810,End of Terrace,5,3,290.0 m²,—,—,09/04/2025,"€2,500,000","€2,510,000","55 TERENURE RD EAST, RATHGAR, DUBLIN 6",09/04/2025,"55 TERENURE RD EAST, RATHGAR, DUBLIN 6",Dublin,"ï¿½2,510,000.00",No,No,Second-Hand Dwelling house /Apartment,
"115 Griffith Hall, Griffith Ave, Dublin, Dublin 9, Dublin",D09PC89,8.418,17.3,8418,1038,Apartment,2,1,60.0 m²,C1,—,09/04/2025,"€325,000","€380,000","115 GRIFFITH HALL, GRIFFITH AVE, DUBLIN",09/04/2025,"115 GRIFFITH HALL, GRIFFITH AVE, DUBLIN",Dublin,"ï¿½380,000.00",No,No,Second-Hand Dwelling house /Apartment,
"74 Kilmore Rd, Artane, Dublin 5, Dublin 5, Dublin",D05R6Y6,7.611,15.616666666666667,7611,937,Terrace,3,1,90.0 m²,—,—,09/04/2025,"€425,000","€440,000","74 KILMORE RD, ARTANE, DUBLIN 5",09/04/2025,"74 KILMORE RD, ARTANE, DUBLIN 5",Dublin,"ï¿½440,000.00",No,No,Second-Hand Dwelling house /Apartment,
"5 Tamarisk Walk, Kilnamanagh, Tallaght Dublin 24, Dublin 24, Dublin",D24RYF4,25.221,26.466666666666665,25221,1588,Semi-D,3,1,84.0 m²,—,—,09/04/2025,"€425,000","€475,000","5 TAMARISK WALK, KILNAMANAGH, TALLAGHT DUBLIN 24",09/04/2025,"5 TAMARISK WALK, KILNAMANAGH, TALLAGHT DUBLIN 24",Dublin,"ï¿½475,000.00",No,No,Second-Hand Dwelling house /Apartment,
"13 Castlefield Manor, Malahide, Dublin, Dublin",K36CX33,11.219,17.883333333333333,11219,1073,Detached,4,3,130.0 m²,—,—,09/04/2025,"€895,000","€895,000","13 CASTLEFIELD MANOR, MALAHIDE, DUBLIN",09/04/2025,"13 CASTLEFIELD MANOR, MALAHIDE, DUBLIN",Dublin,"ï¿½895,000.00",No,No,Second-Hand Dwelling house /Apartment,
"34 Claremont Crescent, Glasnevin, Dublin 11, Dublin 11, Dublin",D11E0P2,9.963,17.783333333333335,9963,1067,End of Terrace,4,2,140.0 m²,—,—,09/04/2025,"€500,000","€613,000","34 CLAREMONT CRESCENT, GLASNEVIN, DUBLIN 11",09/04/2025,"34 CLAREMONT CRESCENT, GLASNEVIN, DUBLIN 11",Dublin,"ï¿½613,000.00",No,No,Second-Hand Dwelling house /Apartment,
"21 Davis Court, Thomas Davis St West, Inchicore Dublin 8, Dublin 8, Dublin",D08A337,21.675,24.2,21675,1452,Apartment,2,2,64.0 m²,—,—,09/04/2025,"€275,000","€327,000","21 DAVIS COURT, THOMAS DAVIS ST WEST, INCHICORE DUBLIN 8",09/04/2025,"21 DAVIS COURT, THOMAS DAVIS ST WEST, INCHICORE DUBLIN 8",Dublin,"ï¿½327,000.00",No,No,Second-Hand Dwelling house /Apartment,
"116 Willow Park Grove, Glasnevin, Dublin 11, Dublin 11, Dublin",D11P282,8.122,14.05,8122,843,Semi-D,3,1,114.0 m²,E2,—,10/04/2025,"€525,000","€620,000","116 WILLOW PARK GROVE, GLASNEVIN, DUBLIN 11",10/04/2025,"116 WILLOW PARK GROVE, GLASNEVIN, DUBLIN 11",Dublin,"ï¿½620,000.00",No,No,Second-Hand Dwelling house /Apartment,
"54 Woodbine Rd, Blackrock, Dublin, Dublin",A94WF22,20.022,30.033333333333335,20022,1802,Site,—,—,—,—,—,10/04/2025,"€1,950,000","€2,075,000","54 WOODBINE RD, BLACKROCK, DUBLIN",10/04/2025,"54 WOODBINE RD, BLACKROCK, DUBLIN",Dublin,"ï¿½2,075,000.00",No,No,Second-Hand Dwelling house /Apartment,
"18 Limewood Rd, Raheny, Dublin 5, Dublin 5, Dublin",D05K7E8,9.049,19.2,9049,1152,Semi-D,3,1,95.0 m²,E2,—,10/04/2025,"€475,000","€475,000","18 LIMEWOOD RD, RAHENY, DUBLIN 5",10/04/2025,"18 LIMEWOOD RD, RAHENY, DUBLIN 5",Dublin,"ï¿½475,000.00",No,No,Second-Hand Dwelling house /Apartment,
"120 Decies Rd, Ballyfermot, Dublin 10, Dublin 10, Dublin",D10YW90,19.825,21.783333333333335,19825,1307,Terrace,3,1,68.0 m²,D2,—,10/04/2025,"€295,000","€367,100","120 DECIES RD, BALLYFERMOT, DUBLIN 10",10/04/2025,"120 DECIES RD, BALLYFERMOT, DUBLIN 10",Dublin,"ï¿½367,100.00",No,No,Second-Hand Dwelling house /Apartment,
"4 Llewellyn Close, Rathfarnham, Dublin 16, Dublin 16, Dublin",D16CK80,34.525,31.4,34525,1884,Semi-D,3,3,110.0 m²,C1,—,10/04/2025,"€575,000","€612,000","4 LLEWELLYN CLOSE, RATHFARNHAM, DUBLIN 16",10/04/2025,"4 LLEWELLYN CLOSE, RATHFARNHAM, DUBLIN 16",Dublin,"ï¿½612,000.00",No,No,Second-Hand Dwelling house /Apartment,
"45 St Peters Rd, Phibsborough, Dublin 7, Dublin 7, Dublin",D07K7W7,11.143,20.883333333333333,11143,1253,House,3,1,118.0 m²,D2,—,10/04/2025,"€675,000","€710,000","45 ST PETERS RD, PHIBSBOROUGH, DUBLIN 7",10/04/2025,"45 ST PETERS RD, PHIBSBOROUGH, DUBLIN 7",Dublin,"ï¿½710,000.00",No,No,Second-Hand Dwelling house /Apartment,
"19a Ballymount Sq, Walkinstown, Dublin 12, Dublin 12, Dublin",D12WV60,22.882,22.633333333333333,22882,1358,Apartment,3,2,80.0 m²,C1,—,10/04/2025,"€360,000","€392,000","19A BALLYMOUNT SQ, WALKINSTOWN, DUBLIN 12",10/04/2025,"19A BALLYMOUNT SQ, WALKINSTOWN, DUBLIN 12",Dublin,"ï¿½392,000.00",No,No,Second-Hand Dwelling house /Apartment,
"36 Liffey Park, Lucan, Dublin, Dublin",K78XH60,18.153,19.45,18153,1167,Semi-D,3,3,88.0 m²,—,—,10/04/2025,"€385,000","€410,000","36 LIFFEY PARK, LUCAN, DUBLIN",10/04/2025,"36 LIFFEY PARK, LUCAN, DUBLIN",Dublin,"ï¿½410,000.00",No,No,Second-Hand Dwelling house /Apartment,
"10 Sycamore Grove, Westminster Park, Foxrock Dublin 18, Dublin 18, Dublin",D18T2R3,36.692,32.733333333333334,36692,1964,Terrace,3,2,85.3 m²,C3,—,10/04/2025,"€625,000","€625,000","10 SYCAMORE GROVE, WESTMINSTER PARK, FOXROCK DUBLIN 18",10/04/2025,"10 SYCAMORE GROVE, WESTMINSTER PARK, FOXROCK DUBLIN 18",Dublin,"ï¿½625,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 63, Hanover Quay, Dublin 2, Dublin 2, Dublin",D02A337,15.568,21.8,15568,1308,Apartment,2,2,80.0 m²,B2,—,10/04/2025,"€595,000","€631,000","APT 63, HANOVER QUAY, DUBLIN 2",10/04/2025,"APT 63, HANOVER QUAY, DUBLIN 2",Dublin,"ï¿½631,000.00",No,No,Second-Hand Dwelling house /Apartment,
"4 Magenta Crescent, Santry, Dublin, Dublin 9, Dublin",D09X516,4.896,9.066666666666666,4896,544,Terrace,3,2,112.6 m²,D2,—,10/04/2025,"€395,000","€471,000","4 MAGENTA CRESCENT, SANTRY, DUBLIN",10/04/2025,"4 MAGENTA CRESCENT, SANTRY, DUBLIN",Dublin,"ï¿½471,000.00",No,No,Second-Hand Dwelling house /Apartment,
"30 Newtown Ave, Blackrock, Dublin, Dublin",A94P7N1,22.037,35.46666666666667,22037,2128,Semi-D,3,3,225.0 m²,C3,—,10/04/2025,"€895,000","€880,000","30 NEWTOWN AVE, BLACKROCK, DUBLIN",10/04/2025,"30 NEWTOWN AVE, BLACKROCK, DUBLIN",Dublin,"ï¿½880,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apartment 56, Adilaun Court, Sybil Hill Road, Dublin 5, Dublin",D05W5T8,10.332,22.366666666666667,10332,1342,Apartment,2,2,85.1 m²,A2,—,10/04/2025,"€595,000","€600,000","APARTMENT 56, ADILAUN COURT, SYBIL HILL ROAD",10/04/2025,"APARTMENT 56, ADILAUN COURT, SYBIL HILL ROAD",Dublin,"ï¿½600,000.00",No,No,Second-Hand Dwelling house /Apartment,
"57 The Sanderling, Barnageeragh Cove, Skerries, Dublin",K34RC83,28.691,28.683333333333334,28691,1721,Semi-D,3,3,108.0 m²,—,—,10/04/2025,"€550,000","€575,000","57 THE SANDERLING, BARNAGEERAGH COVE, SKERRIES",10/04/2025,"57 THE SANDERLING, BARNAGEERAGH COVE, SKERRIES",Dublin,"ï¿½575,000.00",No,No,Second-Hand Dwelling house /Apartment,
"29 Castletimon Avenue, Kilmore West, Coolock, Dublin 5, Dublin",D05XE71,6.459,13.583333333333334,6459,815,Terrace,3,1,90.9 m²,D2,—,10/04/2025,"€375,000","€420,000","29 CASTLETIMON AVENUE, KILMORE WEST, COOLOCK",10/04/2025,"29 CASTLETIMON AVENUE, KILMORE WEST, COOLOCK",Dublin,"ï¿½420,000.00",No,No,Second-Hand Dwelling house /Apartment,
"30 The Way, Scholarstown Woods, Scholarstown Wood, Dublin 16, Dublin",D16K4H6,27.542,26.233333333333334,27542,1574,End of Terrace,3,3,113.0 m²,A2,—,10/04/2025,"€690,000","€782,000","30 THE WAY, SCHOLARSTOWN WOODS, SCHOLARSTOWN WOOD",10/04/2025,"30 THE WAY, SCHOLARSTOWN WOODS, SCHOLARSTOWN WOOD",Dublin,"ï¿½782,000.00",No,No,Second-Hand Dwelling house /Apartment,
"55 Annfield Dr, Riverwood Ave, Castleknock Dublin 15, Dublin 15, Dublin",D15HY59,17.809,21.516666666666666,17809,1291,Duplex,2,2,72.0 m²,—,—,10/04/2025,"€295,000","€366,000","55 ANNFIELD DR, RIVERWOOD AVE, CASTLEKNOCK DUBLIN 15",10/04/2025,"55 ANNFIELD DR, RIVERWOOD AVE, CASTLEKNOCK DUBLIN 15",Dublin,"ï¿½366,000.00",No,No,Second-Hand Dwelling house /Apartment,
"10 Sutton Castle, Shielmartin Rd, Sutton Dublin 13, Dublin 13, Dublin",D13NX09,17.415,30.383333333333333,17415,1823,Apartment,2,2,148.0 m²,—,—,10/04/2025,"€899,500","€825,000","10 SUTTON CASTLE, SHIELMARTIN RD, SUTTON DUBLIN 13",10/04/2025,"10 SUTTON CASTLE, SHIELMARTIN RD, SUTTON DUBLIN 13",Dublin,"ï¿½825,000.00",No,No,Second-Hand Dwelling house /Apartment,
"22 Hermitage Court, Grange Rd, Rathfarnham Dublin 16, Dublin 16, Dublin",D16F6W2,29.664,29.866666666666667,29664,1792,Detached,4,3,123.0 m²,—,—,10/04/2025,"€750,000","€805,000","22 HERMITAGE COURT, GRANGE RD, RATHFARNHAM DUBLIN 16",10/04/2025,"22 HERMITAGE COURT, GRANGE RD, RATHFARNHAM DUBLIN 16",Dublin,"ï¿½805,000.00",No,No,Second-Hand Dwelling house /Apartment,
